day,regimen,ffi,legacy,train_seconds,n_today,buffer_size
1,lora_only,0.013298,0.014,183.9,248,248
2,lora_only,0.01355,0.018,189.7,228,476
3,lora_only,0.02381,0.018,187.5,249,725
4,lora_only,0.02957,0.036,183.3,245,970
5,lora_only,0.02381,0.03,180.5,239,1209
6,lora_only,0.002825,0.0,208.7,254,1463
7,lora_only,0.036364,0.05,202.1,271,1734
8,lora_only,0.045576,0.044,190.6,245,1979
9,lora_only,0.021918,0.014,195.3,251,2000
10,lora_only,0.00813,0.032,193.3,258,2000
11,lora_only,0.01039,0.016,207.8,259,2000
12,lora_only,0.029255,0.024,211.5,255,2000
13,lora_only,0.032432,0.058,205.0,253,2000
14,lora_only,0.035616,0.066,200.3,250,2000
15,lora_only,0.007979,0.016,182.4,247,2000
16,lora_only,0.035912,0.046,185.1,238,2000
17,lora_only,0.032345,0.046,178.5,245,2000
18,lora_only,0.022792,0.028,195.7,241,2000
19,lora_only,0.049315,0.034,182.5,253,2000
20,lora_only,0.0,0.012,191.5,252,2000
21,lora_only,0.010899,0.012,183.7,249,2000
22,lora_only,0.002674,0.01,217.9,264,2000
23,lora_only,0.074792,0.062,175.3,236,2000
24,lora_only,0.050992,0.038,177.8,232,2000
25,lora_only,0.029973,0.038,183.0,245,2000
26,lora_only,0.018717,0.03,192.0,238,2000
27,lora_only,0.013928,0.02,190.1,241,2000
28,lora_only,0.01847,0.038,194.1,263,2000
29,lora_only,0.039683,0.034,200.7,253,2000
30,lora_only,0.043716,0.04,191.7,253,2000
