day,regimen,ffi,legacy,train_seconds,n_today,buffer_size
1,replay_only,0.013298,0.014,184.1,248,248
2,replay_only,0.00813,0.016,341.5,228,476
3,replay_only,0.013228,0.026,531.6,249,725
4,replay_only,0.005376,0.016,753.1,245,970
5,replay_only,0.0,0.002,842.4,239,1209
6,replay_only,0.0,0.01,1046.6,254,1463
7,replay_only,0.002597,0.002,1277.4,271,1734
8,replay_only,0.0,0.004,1420.1,245,1979
9,replay_only,0.0,0.004,1380.7,251,2000
10,replay_only,0.0,0.002,1410.8,258,2000
11,replay_only,0.005195,0.0,1387.9,259,2000
12,replay_only,0.0,0.0,1401.2,255,2000
13,replay_only,0.016216,0.006,1364.8,253,2000
14,replay_only,0.016438,0.004,1409.9,250,2000
15,replay_only,0.037234,0.02,1445.2,247,2000
16,replay_only,0.008287,0.022,1424.4,238,2000
17,replay_only,0.043127,0.036,1442.0,245,2000
18,replay_only,0.034188,0.02,1362.7,241,2000
19,replay_only,0.063014,0.042,1382.3,253,2000
20,replay_only,0.002817,0.012,1497.4,252,2000
21,replay_only,0.008174,0.01,1396.8,249,2000
22,replay_only,0.010695,0.008,1394.3,264,2000
23,replay_only,0.01108,0.006,1423.7,236,2000
24,replay_only,0.011331,0.008,1387.8,232,2000
25,replay_only,0.008174,0.012,1426.9,245,2000
26,replay_only,0.005348,0.004,1417.1,238,2000
27,replay_only,0.011142,0.008,1364.3,241,2000
28,replay_only,0.015831,0.02,1373.0,263,2000
29,replay_only,0.005291,0.008,1469.8,253,2000
30,replay_only,0.021858,0.02,1395.9,253,2000
